name,time,value
humid,1704794517937319608,47.5
humid,1704794578153277938,47.5
humid,1704794638307925536,47.7
humid,1704794698833957628,47.7
humid,1704794758859593254,47.8
humid,1704794819236813923,47.8
humid,1704794879673572591,47.6
humid,1704794939741858162,47.6
humid,1704794999968443391,48.1
humid,1704795060553136385,47.7
humid,1704796042845117413,49.4
humid,1704796102898100757,50.6
humid,1704796344124538826,54.2
humid,1704796404322308969,54.5
humid,1704796464646450250,54.7
humid,1704796525008295137,54.5
humid,1704796585220871731,54.6
humid,1704796645442610309,54.3
humid,1704796705699727113,54.0
humid,1704796766011857197,54.1
humid,1704796826361873472,54.1
humid,1704796886530819288,53.6
humid,1704796946761559083,53.4
humid,1704797007044333859,53.1
humid,1704797067294623217,53.0
humid,1704797127825148541,52.9
humid,1704797187957432321,52.9
humid,1704797248461476009,52.8
humid,1704797308739738252,52.9
humid,1704797368734060304,52.9
humid,1704797429273736081,52.7
humid,1704797489317332001,52.5
humid,1704797549766464899,52.5
humid,1704797609834863491,52.2
humid,1704797670110201575,52.2
humid,1704797730410834328,52.6
humid,1704797790860183332,52.5
humid,1704797850958987560,52.7
humid,1704797911464631152,52.5
humid,1704797971645171394,52.2
humid,1704798031873140978,52.5
humid,1704798092220338298,52.8
humid,1704798152447802868,53.0
humid,1704798212651265510,52.6
humid,1704798272972820862,52.5
humid,1704798333441761945,52.5
humid,1704798393579022306,52.4
humid,1704798453932638925,52.4
humid,1704798514106184760,52.3
humid,1704798574592202352,52.4
humid,1704798634607321543,52.5
humid,1704798695024850961,52.3
humid,1704798755217840259,52.1
humid,1704798815595360916,52.1
humid,1704798875934438343,52.1
humid,1704798936022086258,52.1
humid,1704798996522049305,51.9
humid,1704799056608513106,52.0
humid,1704799116973872500,51.7
humid,1704799177214664516,51.9
humid,1704799237534476292,51.8
humid,1704799297856764923,51.7
humid,1704799358063936779,51.8
humid,1704799418265227887,51.7
humid,1704799478836414800,51.5
humid,1704799539039815566,51.6
humid,1704799599305527700,51.6
humid,1704799659598888655,51.5
humid,1704799719877943073,51.4
humid,1704799779997230844,51.4
humid,1704799840585432714,51.6
humid,1704799900652606501,51.5
humid,1704799960828365851,51.5
humid,1704800021359552907,51.4
humid,1704800081368120961,51.2
humid,1704800141909248498,51.1
humid,1704800201943969525,50.9
humid,1704800262309814471,50.9
humid,1704800322642329069,51.2
humid,1704800382974607036,50.9
humid,1704800443348142360,50.7
humid,1704800503349798277,50.5
humid,1704800563828543205,50.7
humid,1704800623943408522,50.5
humid,1704800684420375820,50.7
humid,1704800744700942335,50.7
humid,1704800804771418804,50.6
humid,1704800865153102260,50.7
humid,1704800925403572946,50.5
humid,1704800985821969800,50.3
humid,1704801046219177725,50.4
humid,1704801106196364678,50.3
humid,1704801166651674987,50.4
humid,1704801226927438861,50.4
humid,1704801287181699346,50.5
humid,1704801347383225972,50.5
humid,1704801407815632499,50.5
humid,1704801467897998188,50.5
humid,1704801528231391691,50.5
humid,1704801588574701296,50.4
humid,1704801649022248981,50.5
humid,1704801709278708850,50.5
humid,1704801769300597254,50.5
humid,1704801829828310195,50.4
humid,1704801890057072700,50.4
humid,1704801950348059942,50.3
humid,1704802010551074014,50.1
humid,1704802070915173214,50.2
humid,1704802131172714230,50.0
humid,1704802191607700786,50.3
humid,1704802251843016459,50.3
humid,1704802312043201586,50.3
humid,1704802372151503050,50.4
humid,1704802432446225696,50.4
