name,time,value
temp,1704794517924041597,20.8
temp,1704794578142216471,20.8
temp,1704794638296149439,20.8
temp,1704794698815274975,20.8
temp,1704794758850190313,20.8
temp,1704794819231423552,20.9
temp,1704794879656834348,20.9
temp,1704794939737276690,20.9
temp,1704794999935114404,20.9
temp,1704795060543031471,20.9
temp,1704796042810719412,20.5
temp,1704796102878698551,19.9
temp,1704796344093913012,18.5
temp,1704796404311079784,18.4
temp,1704796464640563681,18.3
temp,1704796525001617637,18.3
temp,1704796585199564761,18.2
temp,1704796645425364506,18.2
temp,1704796705679796385,18.2
temp,1704796766003416535,18.2
temp,1704796826356466275,18.1
temp,1704796886520983220,18.1
temp,1704796946756280688,18.1
temp,1704797007038288647,18.1
temp,1704797067283603879,18.1
temp,1704797127812722130,18.1
temp,1704797187938473516,18.1
temp,1704797248457010994,18.1
temp,1704797308715946049,18.1
temp,1704797368716487843,18.1
temp,1704797429269330127,18.1
temp,1704797489296968156,18.1
temp,1704797549756117900,18.1
temp,1704797609824982166,18.1
temp,1704797670104178916,18.0
temp,1704797730405896347,18.0
temp,1704797790855254935,18.1
temp,1704797850954318015,18.0
temp,1704797911454783576,18.0
temp,1704797971635556408,18.0
temp,1704798031861893348,18.0
temp,1704798092211199457,18.0
temp,1704798152443298578,18.0
temp,1704798212646749398,18.0
temp,1704798272968495894,18.0
temp,1704798333435513762,18.0
temp,1704798393570100759,18.0
temp,1704798453925356740,18.0
temp,1704798514097511024,18.0
temp,1704798574579947550,18.0
temp,1704798634602841421,18.0
temp,1704798695011940904,18.0
temp,1704798755208709704,18.0
temp,1704798815583621059,17.9
temp,1704798875920497045,17.9
temp,1704798936010885617,17.9
temp,1704798996513559320,17.9
temp,1704799056601243528,17.9
temp,1704799116965642669,17.8
temp,1704799177198337718,17.8
temp,1704799237527156142,17.8
temp,1704799297838011894,17.8
temp,1704799358049937619,17.8
temp,1704799418252015127,17.8
temp,1704799478828171532,17.8
temp,1704799539030553608,17.8
temp,1704799599295755746,17.8
temp,1704799659591674806,17.8
temp,1704799719860494774,17.8
temp,1704799779988616485,17.8
temp,1704799840570068722,17.8
temp,1704799900639284628,17.8
temp,1704799960817266616,17.8
temp,1704800021344608310,17.8
temp,1704800081358705164,17.8
temp,1704800141897233662,17.8
temp,1704800201934648933,17.8
temp,1704800262300778042,17.8
temp,1704800322637562705,17.8
temp,1704800382965391232,17.8
temp,1704800443338644162,17.8
